condition,run,epoch,episode,row_id,scan,occ
no_mem,scripted,,2,canon-full_grid_active-2,15,0.4770
no_mem,scripted,,2,canon-full_grid_active-2,16,0.3675
no_mem,scripted,,2,canon-full_grid_active-2,17,0.2968
no_mem,scripted,,2,canon-full_grid_active-2,18,0.2968
no_mem,scripted,,2,canon-full_grid_active-2,19,0.2580
no_mem,scripted,,2,canon-full_grid_active-2,20,0.2580
no_mem,scripted,,2,canon-full_grid_active-2,21,0.3675
no_mem,scripted,,2,canon-full_grid_active-2,22,0.2968
no_mem,scripted,,2,canon-full_grid_active-2,23,0.5548
no_mem,scripted,,2,canon-full_grid_active-2,24,0.4064
no_mem,scripted,,2,canon-full_grid_active-2,25,0.5159
no_mem,scripted,,2,canon-full_grid_active-2,26,0.2580
no_mem,scripted,,2,canon-full_grid_active-2,27,0.3357
no_mem,scripted,,2,canon-full_grid_active-2,28,0.2968
no_mem,scripted,,2,canon-full_grid_active-2,29,0.3675
no_mem,scripted,,2,canon-full_grid_active-2,30,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,1,0.1095
no_mem,scripted,,3,canon-five_ch_wide-3,2,0.2191
no_mem,scripted,,3,canon-five_ch_wide-3,3,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,4,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,5,0.2191
no_mem,scripted,,3,canon-five_ch_wide-3,6,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,7,0.3286
no_mem,scripted,,3,canon-five_ch_wide-3,8,0.3675
no_mem,scripted,,3,canon-five_ch_wide-3,9,0.3286
no_mem,scripted,,3,canon-five_ch_wide-3,10,0.2191
no_mem,scripted,,3,canon-five_ch_wide-3,11,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,12,0.3286
no_mem,scripted,,3,canon-five_ch_wide-3,13,0.2968
no_mem,scripted,,3,canon-five_ch_wide-3,14,0.2191
no_mem,scripted,,3,canon-five_ch_wide-3,15,0.1095
no_mem,scripted,,3,canon-five_ch_wide-3,16,0.2191
no_mem,scripted,,3,canon-five_ch_wide-3,17,0.3675
no_mem,scripted,,3,canon-five_ch_wide-3,18,0.1484
no_mem,scripted,,3,canon-five_ch_wide-3,19,0.3286
no_mem,scripted,,3,canon-five_ch_wide-3,20,0.4382
no_mem,scripted,,3,canon-five_ch_wide-3,21,0.0389
no_mem,scripted,,3,canon-five_ch_wide-3,22,0.1095
no_mem,scripted,,3,canon-five_ch_wide-3,23,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,24,0.1095
no_mem,scripted,,3,canon-five_ch_wide-3,25,0.2968
no_mem,scripted,,3,canon-five_ch_wide-3,26,0.3675
no_mem,scripted,,3,canon-five_ch_wide-3,27,0.2191
no_mem,scripted,,3,canon-five_ch_wide-3,28,0.1484
no_mem,scripted,,3,canon-five_ch_wide-3,29,0.2580
no_mem,scripted,,3,canon-five_ch_wide-3,30,0.2191
no_mem,scripted,,4,canon-five_plus_four_mixed-4,1,0.2191
no_mem,scripted,,4,canon-five_plus_four_mixed-4,2,0.2968
no_mem,scripted,,4,canon-five_plus_four_mixed-4,3,0.2968
no_mem,scripted,,4,canon-five_plus_four_mixed-4,4,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,5,0.0389
no_mem,scripted,,4,canon-five_plus_four_mixed-4,6,0.1873
no_mem,scripted,,4,canon-five_plus_four_mixed-4,7,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,8,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,9,0.2261
no_mem,scripted,,4,canon-five_plus_four_mixed-4,10,0.2968
no_mem,scripted,,4,canon-five_plus_four_mixed-4,11,0.1873
no_mem,scripted,,4,canon-five_plus_four_mixed-4,12,0.4382
no_mem,scripted,,4,canon-five_plus_four_mixed-4,13,0.1873
no_mem,scripted,,4,canon-five_plus_four_mixed-4,14,0.4382
no_mem,scripted,,4,canon-five_plus_four_mixed-4,15,0.1873
no_mem,scripted,,4,canon-five_plus_four_mixed-4,16,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,17,0.1484
no_mem,scripted,,4,canon-five_plus_four_mixed-4,18,0.4452
no_mem,scripted,,4,canon-five_plus_four_mixed-4,19,0.3675
no_mem,scripted,,4,canon-five_plus_four_mixed-4,20,0.1484
no_mem,scripted,,4,canon-five_plus_four_mixed-4,21,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,22,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,23,0.1873
no_mem,scripted,,4,canon-five_plus_four_mixed-4,24,0.4770
no_mem,scripted,,4,canon-five_plus_four_mixed-4,25,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,26,0.1484
no_mem,scripted,,4,canon-five_plus_four_mixed-4,27,0.3675
no_mem,scripted,,4,canon-five_plus_four_mixed-4,28,0.2580
no_mem,scripted,,4,canon-five_plus_four_mixed-4,29,0.0777
no_mem,scripted,,4,canon-five_plus_four_mixed-4,30,0.2968
no_mem,scripted,,5,canon-full_grid_active-5,1,0.2968
no_mem,scripted,,5,canon-full_grid_active-5,2,0.4064
no_mem,scripted,,5,canon-full_grid_active-5,3,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,4,0.2968
no_mem,scripted,,5,canon-full_grid_active-5,5,0.2580
no_mem,scripted,,5,canon-full_grid_active-5,6,0.2968
no_mem,scripted,,5,canon-full_grid_active-5,7,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,8,0.2261
no_mem,scripted,,5,canon-full_grid_active-5,9,0.2261
no_mem,scripted,,5,canon-full_grid_active-5,10,0.4382
no_mem,scripted,,5,canon-full_grid_active-5,11,0.4064
no_mem,scripted,,5,canon-full_grid_active-5,12,0.0777
no_mem,scripted,,5,canon-full_grid_active-5,13,0.4064
no_mem,scripted,,5,canon-full_grid_active-5,14,0.1166
no_mem,scripted,,5,canon-full_grid_active-5,15,0.2191
no_mem,scripted,,5,canon-full_grid_active-5,16,0.2261
no_mem,scripted,,5,canon-full_grid_active-5,17,0.3286
no_mem,scripted,,5,canon-full_grid_active-5,18,0.1943
no_mem,scripted,,5,canon-full_grid_active-5,19,0.4064
no_mem,scripted,,5,canon-full_grid_active-5,20,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,21,0.2580
no_mem,scripted,,5,canon-full_grid_active-5,22,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,23,0.2261
no_mem,scripted,,5,canon-full_grid_active-5,24,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,25,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,26,0.1873
no_mem,scripted,,5,canon-full_grid_active-5,27,0.4770
no_mem,scripted,,5,canon-full_grid_active-5,28,0.4452
no_mem,scripted,,5,canon-full_grid_active-5,29,0.3675
no_mem,scripted,,5,canon-full_grid_active-5,30,0.3675
no_mem,scripted,,6,canon-five_ch_wide-6,1,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,2,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,3,0.1873
no_mem,scripted,,6,canon-five_ch_wide-6,4,0.2261
no_mem,scripted,,6,canon-five_ch_wide-6,5,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,6,0.0000
no_mem,scripted,,6,canon-five_ch_wide-6,7,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,8,0.1095
no_mem,scripted,,6,canon-five_ch_wide-6,9,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,10,0.4382
no_mem,scripted,,6,canon-five_ch_wide-6,11,0.1095
no_mem,scripted,,6,canon-five_ch_wide-6,12,0.1484
no_mem,scripted,,6,canon-five_ch_wide-6,13,0.1873
no_mem,scripted,,6,canon-five_ch_wide-6,14,0.2580
no_mem,scripted,,6,canon-five_ch_wide-6,15,0.3286
no_mem,scripted,,6,canon-five_ch_wide-6,16,0.2580
no_mem,scripted,,6,canon-five_ch_wide-6,17,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,18,0.2580
no_mem,scripted,,6,canon-five_ch_wide-6,19,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,20,0.2580
no_mem,scripted,,6,canon-five_ch_wide-6,21,0.0389
no_mem,scripted,,6,canon-five_ch_wide-6,22,0.2580
no_mem,scripted,,6,canon-five_ch_wide-6,23,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,24,0.3286
no_mem,scripted,,6,canon-five_ch_wide-6,25,0.2580
no_mem,scripted,,6,canon-five_ch_wide-6,26,0.1484
no_mem,scripted,,6,canon-five_ch_wide-6,27,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,28,0.2191
no_mem,scripted,,6,canon-five_ch_wide-6,29,0.2968
no_mem,scripted,,6,canon-five_ch_wide-6,30,0.3286
no_mem,scripted,,7,canon-five_plus_four_mixed-7,1,0.4382
no_mem,scripted,,7,canon-five_plus_four_mixed-7,2,0.1166
no_mem,scripted,,7,canon-five_plus_four_mixed-7,3,0.2580
no_mem,scripted,,7,canon-five_plus_four_mixed-7,4,0.3675
no_mem,scripted,,7,canon-five_plus_four_mixed-7,5,0.0389
no_mem,scripted,,7,canon-five_plus_four_mixed-7,6,0.3675
no_mem,scripted,,7,canon-five_plus_four_mixed-7,7,0.1555
no_mem,scripted,,7,canon-five_plus_four_mixed-7,8,0.2191
no_mem,scripted,,7,canon-five_plus_four_mixed-7,9,0.1484
no_mem,scripted,,7,canon-five_plus_four_mixed-7,10,0.4382
no_mem,scripted,,7,canon-five_plus_four_mixed-7,11,0.0389
no_mem,scripted,,7,canon-five_plus_four_mixed-7,12,0.2968
no_mem,scripted,,7,canon-five_plus_four_mixed-7,13,0.3286
no_mem,scripted,,7,canon-five_plus_four_mixed-7,14,0.1484
no_mem,scripted,,7,canon-five_plus_four_mixed-7,15,0.2261
no_mem,scripted,,7,canon-five_plus_four_mixed-7,16,0.1484
no_mem,scripted,,7,canon-five_plus_four_mixed-7,17,0.1484
no_mem,scripted,,7,canon-five_plus_four_mixed-7,18,0.2580
no_mem,scripted,,7,canon-five_plus_four_mixed-7,19,0.2580
no_mem,scripted,,7,canon-five_plus_four_mixed-7,20,0.2968
no_mem,scripted,,7,canon-five_plus_four_mixed-7,21,0.1873
no_mem,scripted,,7,canon-five_plus_four_mixed-7,22,0.2580
no_mem,scripted,,7,canon-five_plus_four_mixed-7,23,0.1484
no_mem,scripted,,7,canon-five_plus_four_mixed-7,24,0.2968
no_mem,scripted,,7,canon-five_plus_four_mixed-7,25,0.2261
no_mem,scripted,,7,canon-five_plus_four_mixed-7,26,0.2580
no_mem,scripted,,7,canon-five_plus_four_mixed-7,27,0.3675
no_mem,scripted,,7,canon-five_plus_four_mixed-7,28,0.1484
no_mem,scripted,,7,canon-five_plus_four_mixed-7,29,0.1873
no_mem,scripted,,7,canon-five_plus_four_mixed-7,30,0.4770
no_mem,scripted,,8,canon-full_grid_active-8,1,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,2,0.1873
no_mem,scripted,,8,canon-full_grid_active-8,3,0.2580
no_mem,scripted,,8,canon-full_grid_active-8,4,0.2968
no_mem,scripted,,8,canon-full_grid_active-8,5,0.3286
no_mem,scripted,,8,canon-full_grid_active-8,6,0.2261
no_mem,scripted,,8,canon-full_grid_active-8,7,0.2261
no_mem,scripted,,8,canon-full_grid_active-8,8,0.1873
no_mem,scripted,,8,canon-full_grid_active-8,9,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,10,0.3286
no_mem,scripted,,8,canon-full_grid_active-8,11,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,12,0.2968
no_mem,scripted,,8,canon-full_grid_active-8,13,0.2968
no_mem,scripted,,8,canon-full_grid_active-8,14,0.2261
no_mem,scripted,,8,canon-full_grid_active-8,15,0.1873
no_mem,scripted,,8,canon-full_grid_active-8,16,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,17,0.4064
no_mem,scripted,,8,canon-full_grid_active-8,18,0.2968
no_mem,scripted,,8,canon-full_grid_active-8,19,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,20,0.2261
no_mem,scripted,,8,canon-full_grid_active-8,21,0.1484
no_mem,scripted,,8,canon-full_grid_active-8,22,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,23,0.2191
no_mem,scripted,,8,canon-full_grid_active-8,24,0.4064
no_mem,scripted,,8,canon-full_grid_active-8,25,0.3675
no_mem,scripted,,8,canon-full_grid_active-8,26,0.1166
no_mem,scripted,,8,canon-full_grid_active-8,27,0.1873
no_mem,scripted,,8,canon-full_grid_active-8,28,0.2580
no_mem,scripted,,8,canon-full_grid_active-8,29,0.2968
no_mem,scripted,,8,canon-full_grid_active-8,30,0.1484
no_mem,scripted,,9,canon-five_ch_wide-9,1,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,2,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,3,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,4,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,5,0.1095
no_mem,scripted,,9,canon-five_ch_wide-9,6,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,7,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,8,0.3675
no_mem,scripted,,9,canon-five_ch_wide-9,9,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,10,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,11,0.1873
no_mem,scripted,,9,canon-five_ch_wide-9,12,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,13,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,14,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,15,0.4770
no_mem,scripted,,9,canon-five_ch_wide-9,16,0.3286
no_mem,scripted,,9,canon-five_ch_wide-9,17,0.3286
no_mem,scripted,,9,canon-five_ch_wide-9,18,0.3286
no_mem,scripted,,9,canon-five_ch_wide-9,19,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,20,0.2191
no_mem,scripted,,9,canon-five_ch_wide-9,21,0.3286
no_mem,scripted,,9,canon-five_ch_wide-9,22,0.1095
no_mem,scripted,,9,canon-five_ch_wide-9,23,0.1095
no_mem,scripted,,9,canon-five_ch_wide-9,24,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,25,0.2580
no_mem,scripted,,9,canon-five_ch_wide-9,26,0.1095
no_mem,scripted,,9,canon-five_ch_wide-9,27,0.3675
no_mem,scripted,,9,canon-five_ch_wide-9,28,0.2968
no_mem,scripted,,9,canon-five_ch_wide-9,29,0.1873
no_mem,scripted,,9,canon-five_ch_wide-9,30,0.3286
no_mem,scripted,,10,canon-five_plus_four_mixed-10,1,0.1555
no_mem,scripted,,10,canon-five_plus_four_mixed-10,2,0.2191
no_mem,scripted,,10,canon-five_plus_four_mixed-10,3,0.2580
no_mem,scripted,,10,canon-five_plus_four_mixed-10,4,0.2968
no_mem,scripted,,10,canon-five_plus_four_mixed-10,5,0.2580
no_mem,scripted,,10,canon-five_plus_four_mixed-10,6,0.1873
no_mem,scripted,,10,canon-five_plus_four_mixed-10,7,0.3675
no_mem,scripted,,10,canon-five_plus_four_mixed-10,8,0.2261
no_mem,scripted,,10,canon-five_plus_four_mixed-10,9,0.2261
no_mem,scripted,,10,canon-five_plus_four_mixed-10,10,0.4770
no_mem,scripted,,10,canon-five_plus_four_mixed-10,11,0.1873
no_mem,scripted,,10,canon-five_plus_four_mixed-10,12,0.1873
no_mem,scripted,,10,canon-five_plus_four_mixed-10,13,0.3286
no_mem,scripted,,10,canon-five_plus_four_mixed-10,14,0.2580
no_mem,scripted,,10,canon-five_plus_four_mixed-10,15,0.2261
no_mem,scripted,,10,canon-five_plus_four_mixed-10,16,0.1484
no_mem,scripted,,10,canon-five_plus_four_mixed-10,17,0.2968
no_mem,scripted,,10,canon-five_plus_four_mixed-10,18,0.3675
no_mem,scripted,,10,canon-five_plus_four_mixed-10,19,0.3286
no_mem,scripted,,10,canon-five_plus_four_mixed-10,20,0.3357
no_mem,scripted,,10,canon-five_plus_four_mixed-10,21,0.2580
no_mem,scripted,,10,canon-five_plus_four_mixed-10,22,0.4064
no_mem,scripted,,10,canon-five_plus_four_mixed-10,23,0.3675
no_mem,scripted,,10,canon-five_plus_four_mixed-10,24,0.1484
no_mem,scripted,,10,canon-five_plus_four_mixed-10,25,0.2191
no_mem,scripted,,10,canon-five_plus_four_mixed-10,26,0.2580
no_mem,scripted,,10,canon-five_plus_four_mixed-10,27,0.2968
no_mem,scripted,,10,canon-five_plus_four_mixed-10,28,0.5159
no_mem,scripted,,10,canon-five_plus_four_mixed-10,29,0.1873
no_mem,scripted,,10,canon-five_plus_four_mixed-10,30,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,1,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,2,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,3,0.1166
no_mem,scripted,,11,canon-full_grid_active-11,4,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,5,0.1873
no_mem,scripted,,11,canon-full_grid_active-11,6,0.2580
no_mem,scripted,,11,canon-full_grid_active-11,7,0.3357
no_mem,scripted,,11,canon-full_grid_active-11,8,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,9,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,10,0.1873
no_mem,scripted,,11,canon-full_grid_active-11,11,0.1873
no_mem,scripted,,11,canon-full_grid_active-11,12,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,13,0.1484
no_mem,scripted,,11,canon-full_grid_active-11,14,0.2580
no_mem,scripted,,11,canon-full_grid_active-11,15,0.2261
no_mem,scripted,,11,canon-full_grid_active-11,16,0.1873
no_mem,scripted,,11,canon-full_grid_active-11,17,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,18,0.2261
no_mem,scripted,,11,canon-full_grid_active-11,19,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,20,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,21,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,22,0.1873
no_mem,scripted,,11,canon-full_grid_active-11,23,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,24,0.2191
no_mem,scripted,,11,canon-full_grid_active-11,25,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,26,0.1873
no_mem,scripted,,11,canon-full_grid_active-11,27,0.2261
no_mem,scripted,,11,canon-full_grid_active-11,28,0.3675
no_mem,scripted,,11,canon-full_grid_active-11,29,0.2968
no_mem,scripted,,11,canon-full_grid_active-11,30,0.0777
no_mem,scripted,,12,canon-five_ch_wide-12,1,0.3675
no_mem,scripted,,12,canon-five_ch_wide-12,2,0.3675
no_mem,scripted,,12,canon-five_ch_wide-12,3,0.1095
no_mem,scripted,,12,canon-five_ch_wide-12,4,0.2580
no_mem,scripted,,12,canon-five_ch_wide-12,5,0.3286
no_mem,scripted,,12,canon-five_ch_wide-12,6,0.2968
no_mem,scripted,,12,canon-five_ch_wide-12,7,0.2580
no_mem,scripted,,12,canon-five_ch_wide-12,8,0.2191
no_mem,scripted,,12,canon-five_ch_wide-12,9,0.4382
no_mem,scripted,,12,canon-five_ch_wide-12,10,0.2191
no_mem,scripted,,12,canon-five_ch_wide-12,11,0.1484
no_mem,scripted,,12,canon-five_ch_wide-12,12,0.2580
no_mem,scripted,,12,canon-five_ch_wide-12,13,0.2968
no_mem,scripted,,12,canon-five_ch_wide-12,14,0.1484
no_mem,scripted,,12,canon-five_ch_wide-12,15,0.3675
no_mem,scripted,,12,canon-five_ch_wide-12,16,0.2968
no_mem,scripted,,12,canon-five_ch_wide-12,17,0.3286
no_mem,scripted,,12,canon-five_ch_wide-12,18,0.2968
no_mem,scripted,,12,canon-five_ch_wide-12,19,0.2191
no_mem,scripted,,12,canon-five_ch_wide-12,20,0.3286
no_mem,scripted,,12,canon-five_ch_wide-12,21,0.2191
no_mem,scripted,,12,canon-five_ch_wide-12,22,0.1484
no_mem,scripted,,12,canon-five_ch_wide-12,23,0.2968
no_mem,scripted,,12,canon-five_ch_wide-12,24,0.1873
no_mem,scripted,,12,canon-five_ch_wide-12,25,0.1484
no_mem,scripted,,12,canon-five_ch_wide-12,26,0.2580
no_mem,scripted,,12,canon-five_ch_wide-12,27,0.4382
no_mem,scripted,,12,canon-five_ch_wide-12,28,0.2191
no_mem,scripted,,12,canon-five_ch_wide-12,29,0.2191
no_mem,scripted,,12,canon-five_ch_wide-12,30,0.2580
no_mem,scripted,,13,canon-five_plus_four_mixed-13,1,0.2968
no_mem,scripted,,13,canon-five_plus_four_mixed-13,2,0.4770
no_mem,scripted,,13,canon-five_plus_four_mixed-13,3,0.2968
no_mem,scripted,,13,canon-five_plus_four_mixed-13,4,0.4452
no_mem,scripted,,13,canon-five_plus_four_mixed-13,5,0.2580
no_mem,scripted,,13,canon-five_plus_four_mixed-13,6,0.3357
no_mem,scripted,,13,canon-five_plus_four_mixed-13,7,0.2580
no_mem,scripted,,13,canon-five_plus_four_mixed-13,8,0.3675
no_mem,scripted,,13,canon-five_plus_four_mixed-13,9,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,10,0.2968
no_mem,scripted,,13,canon-five_plus_four_mixed-13,11,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,12,0.1484
no_mem,scripted,,13,canon-five_plus_four_mixed-13,13,0.3286
no_mem,scripted,,13,canon-five_plus_four_mixed-13,14,0.2261
no_mem,scripted,,13,canon-five_plus_four_mixed-13,15,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,16,0.2580
no_mem,scripted,,13,canon-five_plus_four_mixed-13,17,0.3675
no_mem,scripted,,13,canon-five_plus_four_mixed-13,18,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,19,0.1484
no_mem,scripted,,13,canon-five_plus_four_mixed-13,20,0.2191
no_mem,scripted,,13,canon-five_plus_four_mixed-13,21,0.2580
no_mem,scripted,,13,canon-five_plus_four_mixed-13,22,0.3286
no_mem,scripted,,13,canon-five_plus_four_mixed-13,23,0.0777
no_mem,scripted,,13,canon-five_plus_four_mixed-13,24,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,25,0.3675
no_mem,scripted,,13,canon-five_plus_four_mixed-13,26,0.4452
no_mem,scripted,,13,canon-five_plus_four_mixed-13,27,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,28,0.1873
no_mem,scripted,,13,canon-five_plus_four_mixed-13,29,0.1484
no_mem,scripted,,13,canon-five_plus_four_mixed-13,30,0.3286
no_mem,scripted,,14,canon-full_grid_active-14,1,0.2580
no_mem,scripted,,14,canon-full_grid_active-14,2,0.1484
no_mem,scripted,,14,canon-full_grid_active-14,3,0.3675
no_mem,scripted,,14,canon-full_grid_active-14,4,0.2261
no_mem,scripted,,14,canon-full_grid_active-14,5,0.2968
no_mem,scripted,,14,canon-full_grid_active-14,6,0.2580
